Accident_Index,Vehicle_Type
201506E098757,9
201506E098766,9
201506E098766,9
201506E098777,20
201506E098780,9
201506E098780,1
201506E098792,3
201506E098792,9
201506E098804,9
201506E098826,9
201506E098826,8
201506E098847,1
201506E098847,9
201506E098925,9
201506E098925,9
201506E098925,9
201506E098925,9
201506E098925,9
201506E099370,9
201506E099370,1
201506E099429,9
201506E099429,9
201506E099455,9
201506E099455,9
201506E099474,9
201506E099505,9
201506E099505,9
201506E099534,9
201506E099637,9
201506E099637,9
201506E099749,9
201506E099749,9
201506E099755,11
201506E099797,9
201506E099797,1
201506E099800,9
201506E099800,9
201506E099833,9
201506E099833,9
201506E099833,10
201506E099888,9
201506E099976,1
201506E099976,9
201506E099978,9
201506E099978,9
201506E099988,9
201506E099988,1
201506EM06421,9
201506EM06421,9
201506F000007,9
201506F000007,9
201506F000007,9
201506F000110,9
201506F000171,9
201506F000171,9
201506F000171,9
201506F000182,9
201506F000182,9
201506F000440,9
201506F000440,3
201506F000518,9
201506F000518,11
201506F000542,5
201506F000542,9
201506F000588,9
201506F000588,9
201506F000704,9
201506F000704,19
201506F000714,9
201506F000714,9
201506F000738,9
201506F000835,9
201506F000835,1
201506F001017,9
201506F001017,1
201506F001180,9
201506F001180,9
201506F001341,9
201506F001566,9
201506F001566,18
201506F001605,9
201506F001605,9
201506F001642,9
201506F001642,9
201506F001695,5
201506F001695,9
201506F001730,9
201506F001730,3
201506F001764,9
201506F001764,9
201506F001764,9
201506F001764,9
201506F001774,5
201506F001774,9
201506F001927,9
201506F001927,9
201506F001977,9
201506F001977,1
201506F002062,5
201506F002062,9
201506F002121,3
201506F002121,9
201506F002125,3
201506F002125,5
201506F002125,9
201506F002125,9
201506F002212,5
201506F002212,9
201506F002238,9
201506F002238,9
201506F002321,1
201506F002321,19
201506F002326,9
201506F002326,9
201506F002326,9
201506F002511,9
201506F002511,9
201506F002588,9
201506F002588,90
201506F002690,9
201506F002748,9
201506F002748,21
201506F002802,9
201506F002866,9
201506F002866,9
201506F002866,9
201506F002892,9
201506F002892,9
201506F002892,9
201506F002892,9
201506F002961,9
201506F002961,9
201506F002975,9
201506F003017,9
201506F003017,9
201506F003017,9
201506F003289,9
201506F003289,9
201506F003319,5
201506F003320,1
201506F003320,9
201506F003397,9
201506F003397,9
201506F003417,9
201506F003417,1
201506F003493,9
201506F003493,9
201506F003590,9
201506F003590,9
201506F003724,9
201506F003724,9
201506F003728,5
201506F003728,9
201506F003741,1
201506F003741,9
201506F003846,9
201506F003863,19
201506F003863,3
201506F003865,9
201506F003865,9
201506F003879,3
201506F003879,9
201506F003919,9
201506F003919,1
201506F003938,9
201506F003938,3
201506F003966,9
201506F003974,9
201506F003974,1
201506F003976,5
201506F003976,9
201506F003984,9
201506F003984,3
201506F004126,19
201506F004126,19
201506F004165,9
201506F004165,9
201506F004382,9
201506F004382,9
201506F004440,9
201506F004440,3
201506F004450,11
201506F004450,1
201506F004608,9
201506F004608,2
201506F004614,9
201506F004614,9
201506F004718,9
201506F004732,3
201506F004739,1
201506F004739,9
201506F004840,9
201506F004872,9
201506F004872,9
201506F005000,9
201506F005000,9
201506F005031,8
201506F005144,9
201506F005144,9
201506F005217,9
201506F005217,9
201506F005371,9
201506F005371,1
201506F005386,2
201506F005386,9
201506F005671,9
201506F005680,9
201506F005680,5
201506F005707,9
201506F005707,9
201506F005783,9
201506F005818,19
201506F006060,9
201506F006060,1
201506F006065,19
201506F006234,9
201506F006234,9
201506F006234,9
201506F006270,9
201506F006301,9
201506F006301,9
201506F006398,9
201506F006398,3
201506F006478,9
201506F006478,11
201506F006487,1
201506F006487,21
201506F006511,9
201506F006511,9
201506F006572,9
201506F006572,9
201506F006620,8
201506F006620,3
201506F006620,3
201506F006666,9
201506F006666,9
201506F006666,9
201506F006668,1
201506F006668,9
201506F006845,8
201506F006845,1
201506F006866,9
201506F007071,11
201506F007090,3
201506F007090,9
201506F007183,9
201506F007201,9
201506F007201,9
201506F007245,9
201506F007250,4
201506F007250,9
201506F007309,9
201506F007309,9
201506F007309,9
201506F007336,9
201506F007336,9
201506F007462,9
201506F007462,9
201506F007489,90
201506F007489,10
201506F007592,1
201506F007592,9
201506F007605,9
201506F007605,3
201506F007717,1
201506F007717,9
201506F007840,9
201506F007840,1
201506F007912,9
201506F007912,5
201506F008096,9
201506F008096,9
201506F008230,9
201506F008230,9
201506F008230,9
201506F008251,9
201506F008251,10
201506F008278,9
201506F008287,9
201506F008287,9
201506F008293,9
201506F008293,9
201506F008304,9
201506F008304,9
201506F008496,9
201506F008496,3
201506F008603,19
201506F008603,9
201506F008603,9
201506F008681,9
201506F008701,90
201506F008701,90
201506F008711,9
201506F008711,1
201506F008926,9
201506F008926,9
201506F008942,9
201506F008973,9
201506F008999,9
201506F008999,4
201506F009030,10
201506F009037,19
201506F009037,9
201506F009193,9
201506F009193,9
201506F009344,9
201506F009344,2
201506F009398,9
201506F009398,9
201506F009436,9
201506F009453,21
201506F009453,9
201506F009455,9
201506F009455,9
201506F009469,9
201506F009469,9
201506F009524,9
201506F009524,9
201506F009592,9
201506F009592,9
201506F009770,9
201506F009828,19
201506F009828,9
201506F009828,9
201506F009851,9
201506F009851,1
201506F009866,19
201506F009866,9
201506F009909,9
201506F009909,9
201506F009910,9
201506F009910,3
201506F009963,9
201506F009963,1
201506F010252,9
201506F010333,1
201506F010333,9
201506F010427,9
201506F010427,9
201506F010427,9
201506F095351,8
201506F095351,8
201506F095845,9
201506F095845,10
201506F095849,9
201506F095849,9
201506F096132,9
201506F096163,9
201506F096163,9
201506F096188,9
201506F096204,9
201506F096214,9
201506F096214,9
201506F096214,9
201506F096311,9
201506F096311,9
201506F096420,9
201506F096420,3
201506F096430,9
201506F096430,1
201506F096436,9
201506F096494,9
201506F096594,9
201506F096594,9
201506F096595,8
201506F096596,9
201506F096601,9
201506F096601,9
201506F096730,9
201506F096730,9
201506F096873,9
201506F096873,9
201506F096993,9
201506F096993,1
201506F096994,9
201506F096994,9
201506F097086,2
201506F097086,9
201506F097088,9
201506F097089,9
201506F097089,9
201506F097178,9
201506F097218,8
201506F097373,9
201506F097373,9
201506F097491,9
201506F097491,9
201506F097594,9
201506F097655,9
201506F097655,1
201506F097678,9
201506F097678,9
201506F097710,9
201506F097710,8
201506F097719,11
201506F097854,9
201506F097854,9
201506F097871,9
201506F097871,9
201506F097979,9
201506F097979,9
201506F098074,9
201506F098074,9
201506F098074,9
201506F098139,9
201506F098139,9
201506F098152,8
201506F098231,90
201506F098286,1
201506F098286,9
201506F098387,9
201506F098387,9
201506F098421,9
201506F098461,11
201506F098461,9
201506F098648,9
201506F098702,9
201506F098702,9
201506F098702,9
201506F098702,9
201506F098769,9
201506F098769,9
201506F098846,9
201506F098993,21
201506F099064,90
201506F099064,3
201506F099082,9
201506F099082,8
201506F099308,9
201506F099308,1
201506F099308,9
201506F099350,9
201506F099350,9
201506F099350,9
201506F099440,9
201506F099673,9
201506F099689,9
201506F099689,5
201506F099764,9
201506F099764,1
201506F099764,3
201506F099826,9
201506F099826,1
201506F099827,9
201506F099830,9
201506F099830,9
201506F099856,90
201506F099856,1
201506F099941,5
201506F099961,9
201506FA00346,9
201506FA01189,9
201506FA01189,9
201506FA02564,9
201506FA05643,9
201506FA05643,8
201506G000124,9
201506G000124,1
201506G000154,9
201506G000284,9
201506G000284,9
201506G000439,9
201506G000439,9
201506G000439,9
201506G000530,9
201506G000530,4
201506G000582,9
201506G000582,9
201506G000594,9
201506G000594,9
201506G000594,9
201506G000702,9
201506G000702,9
201506G000764,9
201506G000764,9
201506G000843,9
201506G000843,3
201506G000858,9
201506G000958,9
201506G001050,9
201506G001183,9
201506G001183,9
201506G001229,9
201506G001229,5
201506G001257,9
201506G001257,9
201506G001268,9
201506G001268,3
201506G001274,8
201506G001284,9
201506G001284,1
201506G001286,9
201506G001286,3
201506G001293,9
201506G001482,9
201506G001492,9
201506G001492,8
201506G001492,9
201506G001615,9
201506G001615,9
201506G001780,9
201506G001780,9
201506G001859,9
201506G001859,9
201506G001859,9
201506G001933,9
201506G001933,21
201506G001942,8
201506G002114,9
201506G002114,3
201506G002170,9
201506G002275,9
201506G002275,5
201506G002277,3
201506G002277,9
201506G002278,9
201506G002284,9
201506G002284,19
201506G002284,19
201506G002293,9
201506G002293,9
201506G002293,9
201506G002293,9
201506G002306,9
201506G002334,19
201506G002334,19
201506G002346,9
201506G002346,5
201506G002394,9
201506G002394,3
201506G002554,1
201506G002554,9
201506G002624,9
201506G002624,1
201506G002661,9
201506G002683,9
201506G002683,9
201506G002683,9
201506G002715,1
201506G002715,9
201506G002767,3
201506G002767,9
201506G002897,9
201506G002956,5
201506G002956,9
201506G003080,9
201506G003080,5
201506G003088,9
201506G003088,21
201506G003096,9
201506G003096,9
201506G003097,9
201506G003097,8
201506G003108,9
201506G003108,18
201506G003116,19
201506G003116,9
201506G003116,9
201506G003125,3
201506G003125,9
201506G003215,9
201506G003215,9
201506G003215,9
201506G003533,9
201506G003535,9
201506G003535,1
201506G003575,9
201506G003575,9
201506G003583,9
201506G003583,9
201506G003616,9
201506G003616,9
201506G003630,9
